cycle,state,National_votes_dl,dem_votes_dl,rep_votes_dl,other_votes_dl,other_votes2_dl,dem_votes_gov,rep_votes_gov,other_votes_gov,National_votes_gov
2020,Alabama,2323282.00,849624.00,1441170.00, 32488,,,,,
2020,Alaska,359530.00,153778.00,189951.00, 15801,,,,,
2020,Arizona,3397388.00,1672143.00,1661686.00, 63559,,,,,
2020,Arkansas,1219069.00,423932.00,760647.00, 34490,,,,,
2020,California,17512260.00,11110639.00,6006518.00, 395103,,,,,
2020,Colorado,3256980.00,1804352.00,1364607.00, 88021,,,,,
2020,Connecticut,1824456.00,1080831.00,715311.00, 28314,,,,,
2020,Delaware,504346.00,296268.00,200603.00, 7475,,,,,
2020,District of Columbia,344356.00,317323.00,18586.00, 8447,,,,,
2020,Florida,11091758.00,5297045.00,5668731.00, 125982,,,,,
2020,Georgia,4999960.00,2473633.00,2461854.00, 64473,,,,,
2020,Hawaii,574469.00,366130.00,196864.00, 11475,,,,,
2020,Idaho,870343.00,287021.00,554119.00, 29203,,,,,
2020,Illinois,6049500.00,3471915.00,2446891.00, 130694,,,,,
2020,Indiana,3039432.00,1242498.00,1729857.00, 67077,,,,,
2020,Iowa,1690871.00,759061.00,897672.00, 34138,,,,,
2020,Kansas,1377484.00,570323.00,771406.00, 35755,,,,,
2020,Kentucky,2138009.00,772474.00,1326646.00, 38889,,,,,
2020,Louisiana,2148062.00,856034.00,1255776.00, 36252,,,,,
2020,Maine,819461.00,435072.00,360770.00, 23619,,,,,
2020,Maryland,3037030.00,1985023.00,976414.00, 75593,,,,,
2020,Massachusetts,3631402.00,2382202.00,1167202.00, 81998,,,,,
2020,Michigan,5547186.00,2804045.00,2649864.00, 93277,,,,,
2020,Minnesota,3277171.00,1717077.00,1484065.00, 76029,,,,,
2020,Mississippi,1314475.00,539398.00,756764.00, 18313,,,,,
2020,Missouri,3030748.00,1253014.00,1718736.00, 58998,,,,,
2020,Montana,603674.00,244786.00,343602.00, 15286,,,,,
2020,Nebraska,956383.00,374583.00,556846.00, 24954,,,,,
2020,Nevada,1405376.00,703486.00,669890.00, 32000,,,,,
2020,New Hampshire,806205.00,424937.00,365660.00, 15608,,,,,
2020,New Jersey,4565196.00,2608400.00,1883313.00, 73483,,,,,
2020,New Mexico,923965.00,501614.00,401894.00, 20457,,,,,
2020,New York,8632255.00,5244886.00,3251997.00, 135372,,,,,
2020,North Carolina,5524804.00,2684292.00,2758775.00, 81737,,,,,
2020,North Dakota,361819.00,114902.00,235595.00, 11322,,,,,
2020,Ohio,5932446.00,2679165.00,3154834.00, 98447,,,,,
2020,Oklahoma,1560699.00,503890.00,1020280.00, 36529,,,,,
2020,Oregon,2374321.00,1340383.00,958448.00, 75490,,,,,
2020,Pennsylvania,6940449.00,3461221.00,3379055.00, 100173,,,,,
2020,Rhode Island,517757.00,307486.00,199922.00, 10349,,,,,
2020,South Carolina,2513329.00,1091541.00,1385103.00, 36685,,,,,
2020,South Dakota,422609.00,150471.00,261043.00, 11095,,,,,
2020,Tennessee,3053851.00,1143711.00,1852475.00, 57665,,,,,
2020,Texas,11325286.00,5259126.00,5890347.00, 175813,,,,,
2020,Utah,1505931.00,560282.00,865140.00, 80509,,,,,
2020,Vermont,367428.00,242820.00,112704.00, 11904,,,,,
2020,Virginia,4460524.00,2413568.00,1962430.00, 84526,,,,,
2020,Washington,4087631.00,2369612.00,1584651.00, 133368,,,,,
2020,West Virginia,794731.00,235984.00,545382.00, 13365,,,,,
2020,Wisconsin,3298041.00,1630866.00,1610184.00, 56991,,,,,
2020,Wyoming,276765.00,73491.00,193559.00, 9715,,,,,
2020,National,158590503.00,81286358.00,74225839.00, 3078306,,,,,
2016,Alabama,2123372.00,729547.00,1318255.00,44467.00, 31103,,,,
2016,Alaska,318608.00,116454.00,163387.00,18725.00, 20042,,,,
2016,Arizona,2604657.00,1161167.00,1252401.00,106327.00, 84762,,,,
2016,Arkansas,1130676.00,380494.00,684872.00,29949.00, 35361,,,,
2016,California,14243449.00,8753792.00,4483814.00,478500.00, 527343,,,,
2016,Colorado,2780247.00,1338870.00,1202484.00,144121.00, 94772,,,,
2016,Connecticut,1644920.00,897572.00,673215.00,48676.00, 25457,,,,
2016,Delaware,443814.00,235603.00,185127.00,14757.00, 8327,,,,
2016,District of Columbia,311268.00,282830.00,12723.00,4906.00, 10809,,,,
2016,Florida,9502747.00,4504975.00,4617886.00,207043.00, 172843,,,,
2016,Georgia,4146825.00,1877963.00,2089104.00,125306.00, 54452,,,,
2016,Hawaii,428937.00,266891.00,128847.00,15954.00, 17245,,,,
2016,Idaho,690433.00,189765.00,409055.00,28331.00, 63282,,,,
2016,Illinois,5595279.00,3090729.00,2146015.00,209596.00, 148939,,,,
2016,Indiana,2760375.00,1033126.00,1557286.00,133993.00, 35970,,,,
2016,Iowa,1566031.00,653669.00,800983.00,59186.00, 52193,,,,
2016,Kansas,1197570.00,427005.00,671018.00,55406.00, 44141,,,,
2016,Kentucky,1924150.00,628854.00,1202971.00,53752.00, 38573,,,,
2016,Louisiana,2029032.00,780154.00,1178638.00,37978.00, 32262,,,,
2016,Maine,747927.00,357735.00,335593.00,38105.00, 16494,,,,
2016,Maryland,2781446.00,1677928.00,943169.00,79605.00, 80744,,,,
2016,Massachusetts,3325046.00,1995196.00,1090893.00,138018.00, 100939,,,,
2016,Michigan,4824542.00,2268839.00,2279543.00,172136.00, 104024,,,,
2016,Minnesota,2945233.00,1367825.00,1323232.00,112984.00, 141192,,,,
2016,Mississippi,1211088.00,485131.00,700714.00,14435.00, 10808,,,,
2016,Missouri,2828266.00,1071068.00,1594511.00,97359.00, 65328,,,,
2016,Montana,501822.00,177709.00,279240.00,28037.00, 16836,,,,
2016,Nebraska,844232.00,284494.00,495961.00,38946.00, 24831,,,,
2016,Nevada,1125385.00,539260.00,512058.00,37384.00, 36683,,,,
2016,New Hampshire,744296.00,348526.00,345790.00,30777.00, 19203,,,,
2016,New Jersey,3906723.00,2148278.00,1601933.00,72477.00, 84035,,,,
2016,New Mexico,798319.00,385234.00,319667.00,74541.00, 18877,,,,
2016,New York,7721795.00,4556142.00,2819557.00,176600.00, 169496,,,,
2016,North Carolina,4741564.00,2189316.00,2362631.00,130126.00, 59491,,,,
2016,North Dakota,344360.00,93758.00,216794.00,21434.00, 12374,,,,
2016,Ohio,5536547.00,2394169.00,2841006.00,174498.00, 126874,,,,
2016,Oklahoma,1452992.00,420375.00,949136.00,83481.00, 0,,,,
2016,Oregon,2001336.00,1002106.00,782403.00,94231.00, 122596,,,,
2016,Pennsylvania,6166938.00,2926458.00,2970742.00,146719.00, 123019,,,,
2016,Rhode Island,464144.00,252525.00,180543.00,14746.00, 16330,,,,
2016,South Carolina,2103027.00,855373.00,1155389.00,49204.00, 43061,,,,
2016,South Dakota,370111.00,117466.00,227731.00,20850.00, 4064,,,,
2016,Tennessee,2508027.00,870695.00,1522925.00,70397.00, 44010,,,,
2016,Texas,8993855.00,3877868.00,4685047.00,283492.00, 147448,,,,
2016,Utah,1143732.00,310676.00,515231.00,39608.00, 278217,,,,
2016,Vermont,315067.00,178573.00,95369.00,10078.00, 31047,,,,
2016,Virginia,3982752.00,1981473.00,1769443.00,118274.00, 113562,,,,
2016,Washington,3316996.00,1742718.00,1221747.00,160879.00, 191652,,,,
2016,West Virginia,721261.00,188794.00,489371.00,23004.00, 20092,,,,
2016,Wisconsin,2976150.00,1382536.00,1405284.00,106674.00, 81656,,,,
2016,Wyoming,255849.00,55973.00,174419.00,13287.00, 12170,,,,
2016,National,137143218.00,65853677.00,62985153.00,4489359.00, 3815029,,,,
2012,Alabama,2074338.00,795696.00,1255925.00, 22717,,795696.00,1255925.00,22717.00,2074338.00
2012,Alaska,300495.00,122640.00,164676.00, 13179,,122640.00,164676.00,13179.00,300495.00
2012,Arizona,2306559.00,1025232.00,1233654.00, 47673,,1025232.00,1233654.00,40368.00,2299254.00
2012,Arkansas,1069468.00,394409.00,647744.00, 27315,,394409.00,647744.00,27315.00,1069468.00
2012,California,13055815.00,7854285.00,4839958.00, 361572,,7854285.00,4839958.00,344304.00,13038547.00
2012,Colorado,2571846.00,1323102.00,1185243.00, 63501,,1323102.00,1185243.00,61177.00,2569522.00
2012,Connecticut,1558993.00,905109.00,634899.00, 18985,,905083.00,634892.00,18985.00,1558960.00
2012,Delaware,413921.00,242584.00,165484.00, 5853,,242584.00,165484.00,5853.00,413921.00
2012,District of Columbia,293764.00,267070.00,21381.00, 5313,,267070.00,21381.00,5313.00,293764.00
2012,Florida,8492175.00,4237756.00,4163447.00, 90972,,4237756.00,4163447.00,72976.00,8474179.00
2012,Georgia,3908369.00,1773827.00,2078688.00, 55854,,1773827.00,2078688.00,47535.00,3900050.00
